"GEO_ID","NAME","B19083_001E","B19083_001M",
"Geography","Geographic Area Name","Estimate!!Gini Index","Margin of Error!!Gini Index",
"0500000US13103","Effingham County, Georgia","0.4023","0.0423",
"0500000US13113","Fayette County, Georgia","0.4649","0.0277",
"0500000US13115","Floyd County, Georgia","0.4466","0.0358",
"0500000US13117","Forsyth County, Georgia","0.3960","0.0228",
"0500000US13121","Fulton County, Georgia","0.5184","0.0118",
"0500000US13127","Glynn County, Georgia","0.5023","0.0517",
"0500000US13135","Gwinnett County, Georgia","0.4450","0.0195",
"0500000US13139","Hall County, Georgia","0.4507","0.0237",
"0500000US13151","Henry County, Georgia","0.3895","0.0230",
"0500000US13153","Houston County, Georgia","0.4278","0.0369",
"0500000US13157","Jackson County, Georgia","0.4234","0.0290",
"0500000US13179","Liberty County, Georgia","0.4224","0.0294",
"0500000US13185","Lowndes County, Georgia","0.5155","0.0341",
"0500000US13215","Muscogee County, Georgia","0.4859","0.0352",
"0500000US13217","Newton County, Georgia","0.3676","0.0262",
"0500000US13223","Paulding County, Georgia","0.3480","0.0291",
"0500000US13245","Richmond County, Georgia","0.4910","0.0256",
"0500000US13247","Rockdale County, Georgia","0.4775","0.0575",
"0500000US13255","Spalding County, Georgia","0.4785","0.0707",
"0500000US13285","Troup County, Georgia","0.4355","0.0336",
"0500000US13295","Walker County, Georgia","0.4295","0.0306",
"0500000US13297","Walton County, Georgia","0.4377","0.0366",
"0500000US13313","Whitfield County, Georgia","0.4441","0.0324",
"0500000US15001","Hawaii County, Hawaii","0.4953","0.0341",
"0500000US15003","Honolulu County, Hawaii","0.4405","0.0098",
"0500000US15007","Kauai County, Hawaii","0.4529","0.0384",
"0500000US15009","Maui County, Hawaii","0.4825","0.0227",
"0500000US16001","Ada County, Idaho","0.4731","0.0254",
"0500000US16005","Bannock County, Idaho","0.4329","0.0344",
"0500000US16019","Bonneville County, Idaho","0.4445","0.0418",
"0500000US16027","Canyon County, Idaho","0.4138","0.0279",
"0500000US16055","Kootenai County, Idaho","0.4515","0.0345",
"0500000US16083","Twin Falls County, Idaho","0.4877","0.0538",
"0500000US17019","Champaign County, Illinois","0.4807","0.0204",
"0500000US17031","Cook County, Illinois","0.5072","0.0055",
"0500000US17037","DeKalb County, Illinois","0.4515","0.0370",
"0500000US17043","DuPage County, Illinois","0.4614","0.0085",
"0500000US17089","Kane County, Illinois","0.4228","0.0157",
"0500000US17091","Kankakee County, Illinois","0.4416","0.0286",
"0500000US17093","Kendall County, Illinois","0.3783","0.0371",
"0500000US17097","Lake County, Illinois","0.4804","0.0136",
"0500000US17099","LaSalle County, Illinois","0.4514","0.0247",
"0500000US17111","McHenry County, Illinois","0.4308","0.0185",
"0500000US17113","McLean County, Illinois","0.4807","0.0300",
"0500000US17115","Macon County, Illinois","0.4987","0.0335",
"0500000US17119","Madison County, Illinois","0.4410","0.0181",
"0500000US17143","Peoria County, Illinois","0.4782","0.0216",
"0500000US17161","Rock Island County, Illinois","0.4480","0.0334",
"0500000US17163","St. Clair County, Illinois","0.4337","0.0148",
"0500000US17167","Sangamon County, Illinois","0.4633","0.0228",
"0500000US17179","Tazewell County, Illinois","0.4305","0.0236",
"0500000US17183","Vermilion County, Illinois","0.4481","0.0312",
"0500000US17197","Will County, Illinois","0.4127","0.0114",
"0500000US17199","Williamson County, Illinois","0.4409","0.0241",
"0500000US17201","Winnebago County, Illinois","0.4527","0.0150",
"0500000US18003","Allen County, Indiana","0.4336","0.0162",
"0500000US18005","Bartholomew County, Indiana","0.4260","0.0330",
"0500000US18011","Boone County, Indiana","0.4292","0.0468",
"0500000US18019","Clark County, Indiana","0.4439","0.0295",
"0500000US18035","Delaware County, Indiana","0.4513","0.0245",
"0500000US18039","Elkhart County, Indiana","0.4258","0.0264",
"0500000US18043","Floyd County, Indiana","0.4158","0.0206",
"0500000US18053","Grant County, Indiana","0.4352","0.0361",
"0500000US18057","Hamilton County, Indiana","0.4520","0.0287",
"0500000US18059","Hancock County, Indiana","0.3447","0.0301",
"0500000US18063","Hendricks County, Indiana","0.3575","0.0228",
"0500000US18067","Howard County, Indiana","0.4407","0.0378",
"0500000US18081","Johnson County, Indiana","0.4276","0.0320",
"0500000US18085","Kosciusko County, Indiana","0.4004","0.0301",
"0500000US18089","Lake County, Indiana","0.4565","0.0154",
"0500000US18091","LaPorte County, Indiana","0.4206","0.0300",
"0500000US18095","Madison County, Indiana","0.4307","0.0215",
"0500000US18097","Marion County, Indiana","0.4584","0.0113",
"0500000US18105","Monroe County, Indiana","0.5144","0.0289",
"0500000US18109","Morgan County, Indiana","0.4059","0.0291",
"0500000US18127","Porter County, Indiana","0.4431","0.0291",
"0500000US18141","St. Joseph County, Indiana","0.4745","0.0215",
"0500000US18157","Tippecanoe County, Indiana","0.4664","0.0252",
"0500000US18163","Vanderburgh County, Indiana","0.4256","0.0203",
"0500000US18167","Vigo County, Indiana","0.4634","0.0321",
"0500000US18177","Wayne County, Indiana","0.5001","0.0760",
"0500000US19013","Black Hawk County, Iowa","0.4519","0.0271",
"0500000US19049","Dallas County, Iowa","0.4443","0.0286",
"0500000US19061","Dubuque County, Iowa","0.4443","0.0343",
"0500000US19103","Johnson County, Iowa","0.4997","0.0526",
"0500000US19113","Linn County, Iowa","0.4512","0.0206",
"0500000US19153","Polk County, Iowa","0.4316","0.0128",
"0500000US19155","Pottawattamie County, Iowa","0.4411","0.0298",
"0500000US19163","Scott County, Iowa","0.5027","0.0345",
"0500000US19169","Story County, Iowa","0.4688","0.0348",
"0500000US19193","Woodbury County, Iowa","0.4311","0.0284",
"0500000US20015","Butler County, Kansas","0.4153","0.0403",
"0500000US20045","Douglas County, Kansas","0.4628","0.0263",
"0500000US20091","Johnson County, Kansas","0.4546","0.0173",
"0500000US20103","Leavenworth County, Kansas","0.4129","0.0306",
"0500000US20161","Riley County, Kansas","0.4988","0.0345",
"0500000US20173","Sedgwick County, Kansas","0.4556","0.0173",
"0500000US20177","Shawnee County, Kansas","0.4521","0.0191",
"0500000US20209","Wyandotte County, Kansas","0.4326","0.0261",
"0500000US21015","Boone County, Kentucky","0.4079","0.0299",
"0500000US21029","Bullitt County, Kentucky","0.3944","0.0286",
"0500000US21037","Campbell County, Kentucky","0.5024","0.0333",
"0500000US21047","Christian County, Kentucky","0.3909","0.0229",
"0500000US21059","Daviess County, Kentucky","0.4604","0.0318",
"0500000US21067","Fayette County, Kentucky","0.4906","0.0195",
"0500000US21093","Hardin County, Kentucky","0.4016","0.0230",
"0500000US21111","Jefferson County, Kentucky","0.4811","0.0125",
"0500000US21117","Kenton County, Kentucky","0.4296","0.0198",
"0500000US21145","McCracken County, Kentucky","0.4800","0.0384",
"0500000US21151","Madison County, Kentucky","0.4389","0.0356",
"0500000US21185","Oldham County, Kentucky","0.4212","0.0359",
"0500000US21199","Pulaski County, Kentucky","0.4742","0.0357",
"0500000US21227","Warren County, Kentucky","0.4515","0.0278",
"0500000US22005","Ascension Parish, Louisiana","0.4332","0.0459",
"0500000US22015","Bossier Parish, Louisiana","0.4359","0.0243",
