GeoFIPS,GeoName,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
2068,"Denali Borough, AK*",128075,136942,140342,150101,150512,157797,164330,171669,172126,143041,174649,190181,207670,
2070,"Dillingham Census Area, AK*",229075,237122,243616,264395,267572,269499,282318,292027,282891,277712,281673,287027,293375,
2090,"Fairbanks North Star Borough, AK",5048355,5104024,4923446,5127407,5281037,5247243,5322940,5544411,5643548,5759094,6240753,6482992,6690806,
2100,"Haines Borough, AK*",116013,117240,125740,132702,143936,143511,155971,171329,175359,158403,178767,177008,196569,
2105,"Hoonah-Angoon Census Area, AK*",94874,100189,107891,115665,120126,115938,125511,131543,132881,130699,142317,156712,167630,
2110,"Juneau City and Borough, AK",1872852,1967921,1947722,2002493,2041053,2060665,2110045,2209874,2262057,2272653,2382205,2521461,2675853,
2122,"Kenai Peninsula Borough, AK*",2607522,2700386,2656187,2887818,2933032,2873397,2898700,3007832,3153444,3290304,3553223,3675382,3918393,
2130,"Ketchikan Gateway Borough, AK*",783119,804874,805622,844048,869262,865846,892295,924574,956687,920582,966194,1015731,1108391,
2150,"Kodiak Island Borough, AK",717325,765268,750633,789525,834286,779455,810849,799012,821448,854217,886157,908191,955432,
2158,"Kusilvak Census Area, AK*",204597,214166,208232,237853,230190,242352,242916,252848,259342,272305,301551,308445,294363,
2164,"Lake and Peninsula Borough, AK*",74946,82761,83307,85263,86269,83336,88825,97694,89386,84405,91190,94559,99636,
2170,"Matanuska-Susitna Borough, AK",3953480,4128437,4191329,4480619,4712798,4658442,4744355,4998190,5311995,5633023,6116886,6641917,6973122,
2180,"Nome Census Area, AK",408205,420201,416386,456442,468718,471946,489610,514162,528819,539555,571701,625750,628867,
2185,"North Slope Borough, AK*",595932,720968,828223,942953,965741,860011,826278,819548,877849,837400,787928,836831,915648,
2188,"Northwest Arctic Borough, AK",295184,302673,296556,325408,326074,325806,337561,369048,371401,381667,394086,413247,417959,
2195,"Petersburg Borough, AK*",206545,212258,201937,204700,210018,200136,208220,221647,224921,234333,257789,252881,281879,
2198,"Prince of Wales-Hyder Census Area, AK*",198295,206514,228817,242938,251752,252778,264116,282127,283815,295622,310170,304212,314385,
2201,"Prince of Wales-Outer Ketchikan Census Area, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
2220,"Sitka City and Borough, AK*",520908,542195,559931,564665,576920,536464,565589,580409,585698,571820,657488,672028,731607,
2230,"Skagway Municipality, AK*",74857,86751,84638,83870,77627,81858,86257,92250,95892,71905,79454,85848,101982,
2231,"Skagway-Yakutat-Angoon Census Area, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
2232,"Skagway-Hoonah-Angoon Census Area, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
2240,"Southeast Fairbanks Census Area, AK*",310562,301140,300482,311842,320057,320961,330888,348140,350905,363472,416337,429770,462344,
2261,"Valdez-Cordova Census Area, AK*",507783,520863,493662,525390,539480,531365,550304,558724,572964,(NA),(NA),(NA),(NA),
2275,"Wrangell City and Borough, AK*",98137,102126,103043,111536,114302,110003,111550,120146,118002,120320,127264,127028,133030,
2280,"Wrangell-Petersburg Census Area, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
2282,"Yakutat City and Borough, AK*",34762,36988,40870,40271,36491,31917,32649,34472,36762,40192,44841,43413,43337,
2290,"Yukon-Koyukuk Census Area, AK*",256627,268710,258571,273636,268992,281334,287626,302824,305778,307089,329193,339606,352127,
2901,"Aleutian Islands Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
2903,"Angoon Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
2904,"Barrow-North Slope Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
2905,"Bethel Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
2907,"Bristol Bay Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
2908,"Cordova-McCarthy Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
2910,"Haines Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
2912,"Kenai-Cook Inlet Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
2916,"Kuskokwim Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
2919,"Outer Ketchikan Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
2920,"Prince of Wales Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
2921,"Seward Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
2922,"Sitka Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
2923,"Skagway-Yakutat Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
2924,"Southeast Fairbanks Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
2925,"Upper Yukon Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
2926,"Valdez-Chitina-Whittier Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
2928,"Wrangell-Petersburg Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
2929,"Yukon-Koyukuk Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
4001,"Apache, AZ",1959327,1945203,1973758,2032056,2102632,2156520,2279966,2399258,2447364,2779995,3016110,3024735,3122136,
4003,"Cochise, AZ",4703524,4550122,4440383,4473661,4599560,4632411,4807685,4947982,5174896,5884357,6289262,6342945,6674916,
4005,"Coconino, AZ",4901006,5043930,5270807,5546207,5919742,6137865,6584272,6919869,7149227,7679391,8340833,8447336,8947580,
4007,"Gila, AZ",1751777,1676860,1706602,1779172,1858411,1889762,2029732,2095880,2156143,2401242,2662859,2709336,2895217,
4009,"Graham, AZ",943128,980783,1008457,1071300,1076134,1060786,1106761,1166091,1228003,1388998,1525564,1599607,1697455,
4011,"Greenlee, AZ",268576,273710,311189,335162,324595,318705,340547,377009,391034,411711,454367,491997,522754,
4012,"La Paz, AZ*",592915,561539,603202,565119,602281,640540,640423,660455,715361,770816,872560,944253,958214,
4013,"Maricopa, AZ",146124804,153927824,157508064,166295821,176333909,184999292,196350556,209380123,225188159,249056599,278260901,293477159,317707305,
4015,"Mohave, AZ",5239740,5338669,5493504,5778545,5977569,6240157,6625763,6992432,7481313,8366168,9357599,9642517,10318586,
4017,"Navajo, AZ",2726135,2739526,2802084,2859347,2959499,3115946,3282638,3482241,3555703,4123179,4571349,4668734,4919439,
4019,"Pima, AZ",34860323,35943639,36280681,37353042,38619993,40011788,42607513,44699660,47062150,51873262,56482183,58057647,62549592,
4021,"Pinal, AZ",9512714,9763475,10336806,10800132,11419335,12152634,13135225,14163408,15468986,17676655,20166671,21834710,23880965,
4023,"Santa Cruz, AZ",1437572,1452358,1432383,1490947,1518841,1552205,1672459,1738741,1810501,2060551,2303317,2273078,2476677,
4025,"Yavapai, AZ",6433249,6583075,6908898,7421700,7819352,8209084,8839071,9362371,9965235,11135038,12342266,12811573,14315330,
4027,"Yuma, AZ*",5748504,5650702,5953494,5909409,6342206,6579054,6958895,7073441,7463127,8674409,9247297,9393110,10054018,
5001,"Arkansas, AR",689343,718549,766475,739660,731451,754504,771747,793208,818316,887858,996282,961583,1051357,
5003,"Ashley, AR",683113,673542,678640,664354,681536,686452,694058,711280,741753,756861,809082,797573,822398,
5005,"Baxter, AR",1261565,1317037,1313107,1392643,1405755,1423358,1476940,1518211,1592459,1719527,1878212,1872689,1979179,
5007,"Benton, AR",13096605,15729084,15274160,17797991,19492085,20875058,21985828,24404513,23022905,23820924,31057581,32947980,36296846,
5009,"Boone, AR",1097421,1138912,1145222,1206007,1217991,1236011,1271875,1322829,1359423,1446711,1632702,1639529,1693121,
5011,"Bradley, AR",331178,352036,351840,371855,383715,391613,398438,415559,428655,453539,492982,487391,495580,
5013,"Calhoun, AR",143980,150915,150154,157120,164505,169396,172296,178178,186512,201952,221319,217124,225442,
5015,"Carroll, AR",692220,741242,776153,867344,835736,850848,900454,926303,918529,987476,1177923,1199742,1174481,
5017,"Chicot, AR",357544,380183,411083,381403,367219,375571,381435,382119,396779,450150,487790,461328,476790,
5019,"Clark, AR",672889,708159,691090,717887,731271,752559,766186,791912,831910,891593,926333,897177,932821,
5021,"Clay, AR",462804,484541,507629,483948,461484,474596,501068,509005,509682,571341,636617,629985,662365,
5023,"Cleburne, AR",817392,856688,867422,904834,901937,886084,911729,941056,976010,1087741,1205999,1211354,1264743,
5025,"Cleveland, AR",248352,260419,274637,293795,299185,295517,309799,318296,313023,318944,373034,393383,384227,
5027,"Columbia, AR",780392,818287,806783,848977,826417,822128,857795,853806,874067,940198,1006352,1004429,1065261,
5029,"Conway, AR",682982,704717,737446,772214,758433,746702,759741,789053,800328,867728,977859,1029504,1034014,
5031,"Craighead, AR",3194117,3362808,3434122,3550958,3657657,3754309,3867267,4005652,4245909,4721458,5277454,5296735,5563172,
5033,"Crawford, AR",1751062,1798371,1799238,1858322,1893914,1942134,2004597,2065368,2129892,2295161,2526686,2561313,2683891,
5035,"Crittenden, AR",1553409,1588179,1641157,1658129,1661999,1728607,1743367,1768194,1834241,2012272,2162420,2135761,2186031,
5037,"Cross, AR",543898,559379,572384,565547,558753,564182,586754,579336,606835,676251,724623,708306,743306,
5039,"Dallas, AR",223036,222722,220139,228230,230894,237975,244559,250010,260579,281629,296182,292060,303606,
5041,"Desha, AR",419456,419586,463980,426305,419117,412866,430951,428836,442680,505318,552043,525373,544226,
5043,"Drew, AR",587155,606715,617740,619194,619590,629927,648057,656191,672695,742152,793343,789202,815961,
5045,"Faulkner, AR",3796850,3942303,3982671,4150426,4245545,4354187,4514995,4747404,4958741,5499159,6021903,6125000,6544896,
5047,"Franklin, AR",481157,516277,517265,557298,550600,549051,569179,584397,577621,613437,708334,742348,748268,
5049,"Fulton, AR",300368,303138,302685,316186,312481,314815,324524,342704,352220,393575,429304,430103,442646,
5051,"Garland, AR",3255301,3375609,3316253,3487179,3579457,3688123,3786811,3913245,4130439,4520357,4868830,4846464,5101371,
5053,"Grant, AR",570223,590278,588535,610618,633302,648918,667656,685170,720827,775238,842580,862262,917555,
5055,"Greene, AR",1228212,1332156,1371506,1393082,1426312,1451836,1491641,1551987,1623576,1802091,1952096,1931934,2040670,
5057,"Hempstead, AR",590085,614126,611156,651050,636738,637901,671060,686863,681806,711037,811137,857729,823051,
5059,"Hot Spring, AR",879828,904288,894791,937180,954393,974981,1002947,1032337,1067417,1158754,1251865,1265316,1314466,
5061,"Howard, AR",370804,395225,414379,450278,445365,442126,467719,478604,449891,457725,561326,621912,579252,
5063,"Independence, AR",1114883,1108119,1117028,1169292,1212611,1243882,1283802,1321949,1363737,1466133,1644640,1729134,1807409,
5065,"Izard, AR",348629,363587,361791,376509,380185,383274,396513,409551,417054,447574,484900,497880,529501,
5067,"Jackson, AR",512185,548293,602438,601903,598187,596752,620084,623557,634894,706017,750045,769151,858587,
5069,"Jefferson, AR",2301189,2307958,2299153,2307423,2302417,2297609,2338833,2347215,2408513,2565657,2721654,2670352,2759884,
5071,"Johnson, AR",623576,660017,678795,709633,717944,727886,743382,761706,762727,818938,918989,931461,923217,
5073,"Lafayette, AR",206827,224492,232832,242310,232492,230802,232499,234232,236423,255215,295226,308860,306974,
5075,"Lawrence, AR",453999,486914,511699,520101,514416,528515,540677,542091,554528,631886,666028,692133,715437,
5077,"Lee, AR",283100,264708,277148,242070,237648,239160,253794,246104,266564,281996,332618,313294,316985,
5079,"Lincoln, AR",308247,327830,363559,344783,332140,329393,346155,353594,353884,378467,434485,436303,434711,
5081,"Little River, AR",389382,387980,386814,404568,410757,412151,415050,417349,419499,449438,491392,497285,514981,
5083,"Logan, AR",617173,651057,654900,708582,692368,676678,709133,720697,704013,749674,838748,875707,881667,
5085,"Lonoke, AR",2338043,2436686,2506708,2555530,2605752,2693891,2762944,2901587,2996789,3324950,3700650,3669930,3927700,
5087,"Madison, AR",390339,431054,462627,509870,511953,522193,577480,571193,559893,581922,737615,792984,762343,
5089,"Marion, AR",416260,424634,438976,456065,479267,469422,483914,503648,523228,570121,641969,640783,673747,
5091,"Miller, AR",1303316,1332298,1273782,1331547,1365843,1406971,1412204,1445751,1490439,1612933,1745234,1714951,1798064,
5093,"Mississippi, AR",1404223,1268152,1331030,1314256,1258398,1257482,1285411,1346368,1448621,1539381,1804439,1726147,1844713,
5095,"Monroe, AR",233515,236067,272084,238592,221639,223143,222992,224616,234194,266492,286437,276844,301959,
5097,"Montgomery, AR",228689,237010,240715,244082,241554,244558,254678,265469,271843,293670,331460,331400,347912,
5099,"Nevada, AR",254571,254047,247143,258061,265727,262681,269778,276030,279439,292853,324368,333946,326000,
5101,"Newton, AR",196639,201139,198781,207478,208964,212174,215499,225334,239105,254255,283748,271160,280897,
5103,"Ouachita, AR",806525,808779,800880,820006,821630,817709,831737,874167,902373,981525,1056857,1061877,1104701,
5105,"Perry, AR",318517,321570,321231,326514,336391,338664,354768,364987,377075,403698,443476,467283,483416,
5107,"Phillips, AR",606766,581449,607123,572647,550920,558617,579472,572515,600972,661069,733862,691051,698999,
5109,"Pike, AR",301483,309342,305564,324468,331375,328916,339373,345645,341714,360114,415215,430050,427182,
5111,"Poinsett, AR",687551,695274,736325,715164,701111,728917,759860,770891,803848,886177,980453,993349,1051340,
5113,"Polk, AR",499224,531412,534202,575887,568408,564119,586479,609716,607767,649701,741208,780887,780400,
5115,"Pope, AR",1855191,1926321,1925239,2007927,2079817,2104414,2138369,2213309,2278642,2399072,2663622,2684444,2798154,
5117,"Prairie, AR",246786,262282,293326,284247,264314,276975,293437,293621,286994,336929,362953,359158,396412,
5119,"Pulaski, AR",16550241,17740873,17182907,17916595,18610188,18946982,19257141,19568805,20436823,22301494,24402806,24179867,25961494,
5121,"Randolph, AR",483461,498082,503597,527808,510957,539803,575588,597119,618323,687804,765666,768367,778169,
5123,"St. Francis, AR",685864,667713,695582,688094,669741,674572,689106,691130,711097,768466,837444,810202,825106,
